ERSA GmbH
V004 / V04.066.000.000

1;0;L7 T1 pin 1 punto 1;94.2;248.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2;0;L7 T1 pin 1 punto 2;94.5;248.5;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3;;L8 T1 pin 1 punto 1;138.25;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4;;L8 T1 pin 1 punto 2;138.6;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
5;;L7 T2 pin 1 punto 1;143.67;248.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
6;;L7 T2 pin 1 punto 2;144.19;248.5;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
7;;L8 T2 pin 1 punto 1;188.68;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
8;;L8 T2 pin 1 punto 2;188.46;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
9;;L7 T3 pin 1 punto 1;193.4;248.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;;L7 T3 pin 1 punto 2;193.45;248.5;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;;L8 T3 pin 1 punto 1;237.72;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;;L8 T3 pin 1 punto 2;238.20;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;;L7 T4 pin 1 punto 1;243.40;248.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;;L7 T4 pin 1 punto 2;243.44;248.5;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;;L8 T4 pin 1 punto 1;287.80;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;;L8 T4 pin 1 punto 2;287.88;249.06;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;;L1 T1 pin 1 punto 1;95.63;231.10;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;;L1 T1 pin 1 punto 2;95.41;231.10;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;;L3 T1 pin 1 punto 1;94.5;214.42;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;;L3 T1 pin 1 punto 2;94.53;214.42;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;;L1 T2 pin 1 punto 1;145.11;231.59;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;;L1 T1 pin 1 punto 2;145.50;231.59;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;;L5 T1 pin 1 punto 1;186.92;230.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;;L5 T1 pin 1 punto 2;187.7;230.7;100;1;25;0.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
